cell	check	verdict	detail	evidence
C1.10	entry-pristine	PASS	testsigning_active:false installed_qwt_count:0	C1-win10
C1.10	branch-clean-install	PASS	installer's own 'clean install path' marker	C1-win10
C1.10	stage1-prepare-ok	PASS	3 stage1 RESULTs ok:true (2 are C12 repeats)	C1-win10
C1.10	stage2-install-ok	PASS	stage2-install ok:true after exactly one reboot	C1-win10
C1.10	distinct-run-ids	PASS	4 run_ids: 5a6e54e7f906 4b27c2d4487e ddbaf41a8381 e4abc051fd5b	C1-win10
C1.10	agent-hash-vs-release	PASS	20CAB4C56816..==manifest	C1-win10
C1.10	pv-console-bound	PASS	DEV_CONS err=CM_PROB_NONE svc=xencons	C1-win10
C1.10	autologon-armed	PASS	installer RESULT autologon:armed	C1-win10
C1.10	xenbus-monitor-disabled	PASS	START_TYPE=4 DISABLED	C1-win10
C1.10	xenbus-monitor-stopped	PASS	STATE=1 STOPPED	C1-win10
C1.10	reboot-dialog	N/A	netvm='' - PV-network event cannot occur; NET-6 owns it	C1-win10
C12.10	stage-redetected	PASS	2nd pre-reboot run saw testsigning_active:false, re-ran stage1 ok:true	C1-win10
C12.10	resume-fires-once	PASS	one restart, exactly one stage2-install RESULT	C1-win10
C1.10	cold-boot-session	PASS	qrexec answered after boot-path reboot	C1-win10-coldboot
C1.10	pv-disk-bound	PASS	DEV_VBD err=CM_PROB_NONE svc=xenvbd, still_on_emulated_ide=[]	C1-win10-coldboot
C1.10	idd-device-bound	PASS	ROOT\DISPLAY\0000 cm_error=0	C1-win10-coldboot
C1.10	desktop-on-idd	PASS	IddSampleDriver Device is the primary adapter	C1-win10-coldboot
C1.10	idd-modes-published	PASS	5120x1440, 1024x768	C1-win10-coldboot
C1.10	user-data-on-private	PASS	C:\Users is a reparse to Q:\Users	C1-win10-coldboot
C1.10	updates-dom0-owned	PASS	NoAutoUpdate=1, wuauserv Stopped	C1-win10-coldboot
C1.10	pnp-no-unexpected-errors	PASS	unexpected=[]	C1-win10-coldboot
C1.10	pixels-reach-dom0	PASS	two shots around a typed marker differ	C1-win10-coldboot
C1.10	window-chrome-present	PASS	CHROME=OK 3826x1022 bands 19/16	C1-win10-coldboot
C1.10	network-checks	N/A	offline install, netvm='' - P2 owns these	C1-win10-coldboot
C1.11	entry-pristine	PASS	testsigning_active:false installed_qwt_count:0	C1-win11
C1.11	branch-clean-install	PASS	installer's own 'clean install path' marker	C1-win11
C1.11	stage1-prepare-ok	PASS	3 stage1 RESULTs ok:true (2 are C12 repeats)	C1-win11
C1.11	stage2-install-ok	PASS	stage2-install ok:true after exactly one reboot	C1-win11
C1.11	distinct-run-ids	PASS	4 run_ids: 060c34535cd4 32cd7bdf602b f69d68294361 66f41ef5832c	C1-win11
C1.11	agent-hash-vs-release	PASS	20CAB4C56816..==manifest	C1-win11
C1.11	pv-console-bound	PASS	DEV_CONS err=CM_PROB_NONE svc=xencons	C1-win11
C1.11	autologon-armed	PASS	installer RESULT autologon:armed	C1-win11
C1.11	xenbus-monitor-disabled	PASS	START_TYPE=4 DISABLED	C1-win11
C1.11	xenbus-monitor-stopped	PASS	STATE=1 STOPPED	C1-win11
C1.11	reboot-dialog	N/A	netvm='' - NET-6 owns it	C1-win11
C12.11	stage-redetected	PASS	runs 2+3 saw testsigning_active:false, re-ran stage1 ok:true	C1-win11
C12.11	resume-fires-once	PASS	restarts=1, exactly one stage2-install RESULT	C1-win11
C1.11	cold-boot-session	PASS	qrexec answered after boot-path reboot	C1-win11-coldboot
C1.11	pv-disk-bound	PASS	DEV_VBD err=CM_PROB_NONE svc=xenvbd	C1-win11-coldboot
C1.11	idd-device-bound	PASS	ROOT\DISPLAY\0000 cm_error=0	C1-win11-coldboot
C1.11	desktop-on-idd	PASS	IddSampleDriver Device is primary adapter	C1-win11-coldboot
C1.11	idd-modes-published	PASS	5120x1440, 1024x768	C1-win11-coldboot
C1.11	user-data-on-private	PASS	C:\Users reparse to Q:\Users	C1-win11-coldboot
C1.11	updates-dom0-owned	PASS	NoAutoUpdate=1, wuauserv Stopped	C1-win11-coldboot
C1.11	pnp-no-unexpected-errors	PASS	unexpected=[]	C1-win11-coldboot
