[20260731.013246.907-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=1,n=1,mode=s,dt=0,acq=203,wak=3345,mrq=5,drq=16,upd=7,enu=3597,rem=6,dmg=3,snd=0,tot=3633,dr=1,mr=0,mrmax=0,area=4953600,win=0,iwn=2,wev=0,sends=0,skip=0,log=0
[20260731.013308.652-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=2,n=1,mode=s,dt=21731941,acq=6590,wak=39,mrq=20,drq=35,upd=105,enu=72511,rem=69,dmg=22,snd=39,tot=72778,dr=1,mr=0,mrmax=0,area=2805750,win=1,iwn=12,wev=8,sends=2,skip=2,log=27
[20260731.013308.705-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=3,n=1,mode=s,dt=53102,acq=44604,wak=8180,mrq=9,drq=38,upd=16,enu=1167,rem=11,dmg=19,snd=32,tot=1274,dr=1,mr=0,mrmax=0,area=2654820,win=1,iwn=1,wev=1,sends=2,skip=0,log=55
[20260731.013308.736-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=4,n=1,mode=s,dt=33101,acq=32672,wak=22,mrq=12,drq=31,upd=5,enu=5,rem=5,dmg=19,snd=43,tot=108,dr=1,mr=0,mrmax=0,area=2538360,win=1,iwn=0,wev=0,sends=2,skip=1,log=75
[20260731.013308.784-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=5,n=1,mode=s,dt=45944,acq=35347,wak=15,mrq=8,drq=25,upd=7898,enu=13,rem=12,dmg=24,snd=42,tot=8028,dr=1,mr=0,mrmax=0,area=2445,win=1,iwn=1,wev=1,sends=2,skip=2,log=93
[20260731.013308.921-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=6,n=1,mode=s,dt=137832,acq=11099,wak=20,mrq=14,drq=31,upd=5,enu=5,rem=5,dmg=39,snd=57,tot=155,dr=1,mr=0,mrmax=0,area=2428108,win=1,iwn=0,wev=0,sends=2,skip=3,log=68
[20260731.013308.982-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=7,n=1,mode=s,dt=60832,acq=60385,wak=35,mrq=12,drq=48,upd=5,enu=5,rem=5,dmg=28,snd=52,tot=126,dr=2,mr=0,mrmax=0,area=1268424,win=1,iwn=0,wev=0,sends=4,skip=0,log=87
[20260731.013309.005-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=8,n=1,mode=s,dt=21983,acq=15772,wak=29,mrq=25,drq=39,upd=8,enu=7,rem=6,dmg=26,snd=60,tot=148,dr=1,mr=0,mrmax=0,area=58972,win=1,iwn=0,wev=0,sends=2,skip=1,log=72
[20260731.013309.113-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=9,n=1,mode=s,dt=109271,acq=108635,wak=46,mrq=11,drq=27,upd=900,enu=10,rem=10,dmg=19,snd=41,tot=1011,dr=1,mr=0,mrmax=0,area=2884200,win=1,iwn=1,wev=1,sends=2,skip=0,log=150
[20260731.013309.150-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=10,n=1,mode=s,dt=36994,acq=36442,wak=30,mrq=8,drq=22,upd=5,enu=5,rem=5,dmg=19,snd=36,tot=102,dr=1,mr=0,mrmax=0,area=2805750,win=1,iwn=0,wev=0,sends=2,skip=0,log=159
[20260731.013309.199-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=11,n=1,mode=s,dt=48343,acq=47909,wak=33,mrq=32,drq=27,upd=459,enu=9,rem=9,dmg=18,snd=40,tot=567,dr=1,mr=0,mrmax=0,area=480000,win=1,iwn=1,wev=1,sends=2,skip=1,log=83
[20260731.013309.765-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=12,n=1,mode=s,dt=565631,acq=565280,wak=35,mrq=14,drq=48,upd=5,enu=4,rem=5,dmg=17,snd=41,tot=101,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=55
[20260731.013310.300-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=13,n=1,mode=s,dt=535020,acq=534593,wak=54,mrq=12,drq=34,upd=7,enu=7,rem=7,dmg=19,snd=50,tot=127,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=75
[20260731.013310.838-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=14,n=1,mode=s,dt=530400,acq=529993,wak=53,mrq=8,drq=28,upd=331,enu=7643,rem=5,dmg=24,snd=45,tot=8088,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=3,wev=0,sends=2,skip=0,log=75
[20260731.013311.369-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=15,n=1,mode=s,dt=538451,acq=530045,wak=48,mrq=16,drq=40,upd=9,enu=7,rem=5,dmg=17,snd=40,tot=123,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=85
[20260731.013311.895-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=16,n=1,mode=s,dt=525809,acq=525402,wak=42,mrq=16,drq=38,upd=6,enu=5,rem=6,dmg=18,snd=314,tot=383,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=74
[20260731.013312.423-1864-I] PerfEmitFrame: QGAPERF,v=2,seq=17,n=1,mode=s,dt=528253,acq=527567,wak=42,mrq=8,drq=27,upd=9,enu=6,rem=6,dmg=18,snd=37,tot=110,dr=1,mr=0,mrmax=0,area=18,win=1,iwn=0,wev=0,sends=2,skip=0,log=68
