elapsed_s,cputime_ns,delta_cores,qrexec
21,2031132,0.00,down
58,49474738748,1.34,down
93,120370489835,2.03,down
128,190474304040,2.00,down
163,259661029645,1.98,down
198,329923881893,2.01,down
233,399956406591,2.00,down
268,469951437452,2.00,down
303,539961078621,2.00,down
338,609976991508,2.00,down
373,679968038901,2.00,down
408,749719638428,1.99,down
443,819579796535,2.00,down
478,889516848520,2.00,down
513,959489658264,2.00,down
548,1029155825706,1.99,down
583,1098769811662,1.99,down
618,1169160312978,2.01,down
653,0,-33.40,down
688,23628305220,0.68,down
723,35218935082,0.33,down
758,37096118751,0.05,down
793,38935894219,0.05,down
828,40701557827,0.05,down
864,42401301532,0.05,down
899,44037142736,0.05,down
934,45692492333,0.05,down
